room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13110533,70234824,Entire home/apt,,Migeun-dong,1,,2,1,53,1,37.564972,126.96723,45:48.3
2003153,10311730,Shared room,,Yeonnam-dong,24,5,8,1,13,1,37.565411,126.922372,45:45.2
8346007,42379185,Private room,,Jangan-dong,2,,2,1,44,1,37.576277,127.076093,45:38.5
6561081,31627642,Shared room,,Itaewon-dong,2,,1,1,19,1,37.535387,126.992513,45:27.9
4405502,19927021,Entire home/apt,,Myeong-dong 1(il)-ga,53,5,4,0,59,1,37.563953,126.982765,45:24.7
11719139,37193463,Entire home/apt,,Donggyo-dong,10,5,6,1,55,2,37.557736,126.924813,45:14.4
12594814,62212798,Entire home/apt,,Bongnae-dong 2(i)-ga,0,,4,1,70,1,37.554917,126.97067,44:59.6
9962435,51193300,Private room,,Seongsu-dong 2(i)-ga,8,4.5,2,1,25,1,37.540668,127.051253,44:57.4
4025558,6939095,Entire home/apt,,Hongik-dong,33,5,4,2,67,2,37.56596,127.034584,44:54.2
12655648,68752222,Entire home/apt,,Jamwon-dong,3,2.5,2,1,39,1,37.517074,127.018682,44:50.8
4320818,2403998,Shared room,,Donggyo-dong,1,,3,1,11,3,37.558294,126.9254,44:42.8
12009263,54976700,Shared room,,Seongsan-dong,0,,4,1,15,1,37.56244,126.908294,44:35.3
2650160,5057359,Entire home/apt,,Changjeon-dong,34,5,2,1,56,2,37.554024,126.931982,44:17.0
5585572,17346569,Entire home/apt,,Seogye-dong,31,4.5,5,2,72,2,37.553108,126.967012,44:13.9
4138381,19666839,Private room,,Sogong-dong,7,4,2,1,43,1,37.563109,126.978831,43:08.1
1874904,8965128,Entire home/apt,,Doryeom-dong,11,5,4,0,94,1,37.573846,126.97375,43:03.9
4484575,12594820,Entire home/apt,,Gye-dong,36,5,6,2,165,2,37.580402,126.988284,42:57.1
7963607,19759971,Shared room,,Ipjeong-dong,8,4,6,1,11,1,37.567851,126.993893,42:44.9
8543233,44010819,Private room,,Seocho-dong,0,,2,1,173,1,37.498207,127.023738,42:21.4
8572891,45119473,Entire home/apt,,Hannam-dong,2,,4,2,72,4,37.539515,127.006549,42:17.8
8491876,22261535,Shared room,,Donggyo-dong,0,,1,1,16,1,37.560365,126.924866,41:23.8
2257547,7731422,Entire home/apt,,Dongja-dong,18,5,4,0,78,1,37.552892,126.969387,41:07.6
6945979,36406984,Private room,,Sadang-dong,0,,2,1,29,1,37.476796,126.975944,40:58.9
6244130,15506117,Entire home/apt,,Seocho-dong,2,,2,1,53,2,37.498183,127.0163,40:56.3
6819502,33105566,Entire home/apt,,Euljiro 5(o)-ga,9,4.5,4,0,69,1,37.567299,127.002683,40:40.9
12277103,22713773,Private room,,Sinsa-dong,0,,1,1,21,1,37.596356,126.906777,40:32.0
5340076,27506956,Shared room,,Jayang-dong,0,,1,1,25,1,37.533016,127.085727,40:08.7
12327249,15944828,Entire home/apt,,Yeonnam-dong,5,5,8,3,100,2,37.562641,126.923987,38:40.6
12373147,66172277,Shared room,,Gwancheol-dong,0,,2,1,67,1,37.569609,126.984155,38:20.3
5309898,27506956,Shared room,,Jayang-dong,0,,1,1,25,1,37.531386,127.084942,38:17.2
7115499,23958045,Entire home/apt,,Donggyo-dong,49,5,5,1,50,1,37.555793,126.922313,38:15.0
9614031,49520508,Private room,,Sinsa-dong,15,4.5,2,1,31,,37.521587,127.025422,38:11.2
4884498,4274472,Entire home/apt,,Wonhyoro 1(iI)-ga,0,,4,1,57,2,37.538261,126.967844,37:39.1
5780673,11201023,Entire home/apt,,Chungmuro 2(i)-ga,26,5,5,1,60,2,37.562336,126.990167,37:31.7
6243095,10267535,Private room,,Bogwang-dong,31,5,2,1,35,2,37.525456,126.9984,37:28.6
510433,1549545,Shared room,,Changcheon-dong,1,,2,1,18,15,37.559171,126.935826,37:14.2
7614257,5469253,Private room,,Euljiro 7(chil)-ga,27,4,3,1,22,1,37.565804,127.007811,37:12.0
7717020,17180640,Entire home/apt,,Hwagok-dong,1,,16,2,82,5,37.553695,126.851767,37:09.2
12356258,27918510,Entire home/apt,,Namdaemunno 1(il)-ga,5,4.5,8,3,98,2,37.567843,126.982859,37:07.4
8358298,32028072,Shared room,,Dongseon-dong 4(sa)-ga,0,,6,1,130,1,37.597116,127.019498,36:33.8
13053110,25910922,Private room,,Sangsu-dong,0,,2,1,61,,37.548998,126.922811,36:26.9
10199726,38875512,Private room,,Seocho-dong,0,,2,1,48,14,37.492364,127.027535,35:54.4
6011435,30752872,Shared room,,Sangam-dong,1,,4,1,22,1,37.577668,126.895265,35:47.9
1214969,6616403,Shared room,,Seocho-dong,7,4.5,6,1,25,1,37.499049,127.025583,35:34.6
3481597,7731422,Entire home/apt,,Seogye-dong,10,4,4,1,78,2,37.553899,126.967506,35:28.2
12939484,8426543,Entire home/apt,,Dongja-dong,0,,7,1,76,4,37.554344,126.97112,34:50.6
6561253,31536382,Private room,,Seogyo-dong,3,4,3,1,60,2,37.554885,126.916487,34:29.3
4893047,11677529,Private room,,Donggyo-dong,12,4.5,1,1,30,1,37.556167,126.929191,34:13.8
1274170,4424619,Shared room,,Nonhyeon-dong,2,,6,1,30,1,37.506023,127.025981,33:55.5
13007981,9397822,Private room,,Junghwa-dong,0,,1,1,24,14,37.60706,127.084071,33:45.2
8543882,40552680,Entire home/apt,,Sungin-dong,9,5,2,1,47,3,37.572839,127.017479,33:42.4
12529151,15711308,Shared room,,Seogyo-dong,0,,6,1,18,1,37.554428,126.925694,33:37.3
12139227,26946636,Entire home/apt,,Wonseo-dong,0,,3,1,100,1,37.582297,126.989347,33:08.3
11962728,27403055,Shared room,,Yongsan-dong 3(sam)-ga,1,,6,1,18,1,37.530829,126.973961,33:06.2
12057136,64582015,Shared room,,Mangwon-dong,1,,11,1,31,1,37.55536,126.903851,32:54.5
10133528,25057426,Private room,,Nogosan-dong,5,5,2,1,35,2,37.552868,126.936256,32:18.6
